	mean_sigma	alpha	beta	prior_sigma	Y_mean	X_mean	Z_mean	gene
ENSG00000253710	0.512432944	6.761414548	6.503795862	0.49656566	2.8783042	24.96825397	1.415730337	ALG11
ENSG00000148671	0.442841315	6.330958617	8.15467006	0.504108506	145.84273	25	2.404494382	ADIRF
ENSG00000112799	0.28928634	4.33159427	10.72835085	0.504484161	3.596365	24.49206349	2.764044944	LY86
ENSG00000133961	0.601076786	7.892325298	5.215763281	0.494443205	42.51023	25	1.146067416	NUMB
ENSG00000083307	0.314099762	4.733216606	10.36543395	0.515383176	12.481708	18	2.179775281	GRHL2
ENSG00000274286	0.108649612	2.146980427	18.23798009	0.511084023	0.1506698	13.17460317	2.865168539	ADRA2B
ENSG00000155657	0.312574137	4.873755761	10.48647416	0.487803042	100.176575	24.52380952	2.93258427	TTN
ENSG00000173451	0.405621818	5.826485052	8.578337914	0.502485243	1.4136174	24.80952381	1.887640449	THAP2
ENSG00000107829	0.390204174	5.712902424	8.849476615	0.509184659	87.66338	25	2.775280899	FBXW4
ENSG00000118017	0.02739135	0.748467149	25.83765324	0.50451543	0.025692364	1.761904762	2.921348315	A4GNT
ENSG00000160345	0.27590638	4.255083304	11.24523369	0.502076727	2.241844	24.65079365	2.719101124	C9orf116
ENSG00000115828	0.338625785	4.930082219	9.633058007	0.506540553	20.136778	24.95238095	2.573033708	QPCT
ENSG00000243364	0.265864102	4.24813362	11.76347856	0.50063963	4.9307756	24.96825397	3	EFNA4
ENSG00000158201	0.432742297	5.96706653	8.015330939	0.498859063	19.524893	24.98412698	2.213483146	ABHD3
ENSG00000005243	0.432448324	6.346599496	8.367612648	0.488494026	54.04425	24.98412698	2.213483146	COPZ2
ENSG00000106723	0.510840624	7.249162573	6.862895883	0.502533251	15.845444	24.98412698	1.730337079	SPIN1
ENSG00000125895	0.284522526	4.246825951	10.71526681	0.501723638	2.6933525	22.85714286	2.325842697	TMEM74B
ENSG00000085719	0.593402064	7.867817545	5.385607654	0.50028547	44.01537	24.98412698	1.449438202	CPNE3
ENSG00000104979	0.661359229	8.553970619	4.466367717	0.494026914	54.42665	24.98412698	1.337078652	C19orf53
ENSG00000139547	0.181624208	3.258610598	13.90453027	0.49878942	10.255798	22.52380952	2.966292135	RDH16
ENSG00000167123	0.415280049	6.023251179	8.647617194	0.500939783	94.97742	25	2.505617978	CERCAM
ENSG00000170638	0.80719046	9.252575148	2.320820639	0.507329609	70.80878	25	0.606741573	TRABD
ENSG00000176105	0.616362767	8.080034381	5.052817081	0.50682488	19.248302	24.95238095	1.426966292	YES1
ENSG00000161638	0.393007472	5.933161317	8.952612892	0.505044236	388.88443	25	2.842696629	ITGA5
ENSG00000101844	0.606990167	7.538560054	4.891432383	0.510013494	15.232109	24.96825397	1.123595506	ATG4A
ENSG00000177885	0.542415775	7.392781559	6.1323337	0.510898378	68.96322	25	1.606741573	GRB2
ENSG00000122218	0.685029677	9.118407745	4.350518792	0.500595759	253.64499	25	1.370786517	COPA
ENSG00000005339	0.715724806	9.031240254	3.479875693	0.499094819	76.64465	25	0.95505618	CREBBP
ENSG00000171466	0.35624278	5.189097053	9.346054469	0.498610222	6.0765595	24.96825397	2.471910112	ZNF562
ENSG00000169299	0.464896065	6.518455139	7.700188832	0.492527027	33.435703	25	2.134831461	PGM2
ENSG00000189369	0.093860206	2.090938141	19.41050228	0.500654035	0.006946784	1.523809524	1.865168539	GSPT2
ENSG00000181433	0.046624044	1.20816806	23.20397088	0.500412979	0.15787494	6.523809524	2.93258427	SAGE1
ENSG00000198663	0.529455217	7.134803656	6.406802821	0.498571996	30.718472	25	1.853932584	C6orf89
ENSG00000068912	0.6032589	8.233444592	5.349336809	0.500652482	83.7153	25	1.528089888	ERLEC1
ENSG00000135723	0.370626381	5.531986021	9.540204685	0.493187597	87.13763	25	2.617977528	FHOD1
ENSG00000173230	0.763649043	9.806698855	3.037099708	0.479133479	86.70477	25	0.651685393	GOLGB1
ENSG00000074660	0.274802879	4.392438529	11.29555253	0.506359212	18.679935	24.98412698	2.752808989	SCARF1
ENSG00000111834	0.231776599	3.762024839	12.37933181	0.496240362	1.1516159	22.77777778	2.741573034	RSPH4A
ENSG00000171124	0.164976379	2.917369017	14.60605736	0.515093361	2.8220098	12.6031746	2.157303371	FUT3
ENSG00000037474	0.598416002	8.150666737	5.613488245	0.496237751	71.32073	25	1.370786517	NSUN2
ENSG00000100413	0.642554114	7.984660393	4.432693351	0.495066068	23.682838	24.98412698	1.247191011	POLR3H
ENSG00000120278	0.66156251	7.891460222	4.108139085	0.493683744	12.80076	24.98412698	1.168539326	PLEKHG1
ENSG00000087206	0.356876033	5.338854421	9.73572621	0.508384471	52.549915	25	2.651685393	UIMC1
ENSG00000072195	0.368429446	5.438210643	9.198050626	0.496482598	124.77508	24.98412698	2.404494382	SPEG
ENSG00000163683	0.527206913	7.174273814	6.377755088	0.496803315	25.738092	25	1.786516854	SMIM14
ENSG00000071203	0.057616097	1.307454892	21.87560977	0.49616601	19.049538	6.444444444	2.93258427	MS4A12
ENSG00000112759	0.560261241	7.868334064	6.104828964	0.513785085	152.24312	25	1.584269663	SLC29A1
ENSG00000198780	0.268879745	4.223509878	11.72346361	0.503495053	2.2344527	23.74603175	2.494382022	FAM169A
ENSG00000101928	0.531418047	6.898227763	6.080295225	0.498440454	4.2594714	24.96825397	1.483146067	MOSPD1
ENSG00000159079	0.473005966	6.638369636	7.439797042	0.504189456	47.621426	24.98412698	2.101123596	C21orf59
ENSG00000109920	0.472618614	6.774040984	7.498273221	0.496131932	106.89898	25	2.269662921	FNBP4
ENSG00000204941	0.044647172	1.068876847	23.70069853	0.512050013	0.07063188	4.873015873	2.93258427	PSG5
ENSG00000174358	0.070374151	1.61770282	20.85128671	0.500955632	8.564056	9.111111111	2.865168539	SLC6A19
ENSG00000079689	0.247443696	3.8342689	11.77082925	0.494585911	6.2880163	21.36507937	2.640449438	SCGN
ENSG00000068878	0.675114116	8.776335888	4.275047563	0.498431008	84.48163	25	1.112359551	PSME4
ENSG00000131016	0.342084015	4.998804838	9.706434433	0.517745446	15.990828	24.92063492	2.696629213	AKAP12
ENSG00000131730	0.308582248	4.642176906	10.47010968	0.489450006	34.35317	24.95238095	2.775280899	CKMT2
ENSG00000135404	0.521925381	7.704943804	7.116105449	0.495475348	959.71796	25	2.370786517	CD63
ENSG00000153406	0.672957663	8.357862745	4.050387999	0.492424541	32.58126	25	0.966292135	NMRAL1
ENSG00000254788	0.339885625	5.14496966	10.05508992	0.498594338	5.7741404	25	2.471910112	CKLF-CMTM1
ENSG00000138326	0.505644277	7.421229148	7.377942859	0.49913364	1520.1354	25	2.460674157	RPS24
ENSG00000171606	0.447953	6.340274828	7.920967975	0.500342563	13.2890625	24.96825397	2	ZNF274
ENSG00000187955	0.497020639	6.845146155	7.158666578	0.505521551	187.22224	24.98412698	2.112359551	COL14A1
ENSG00000067646	0.312789424	4.554579021	9.961239977	0.513728003	1.5100312	18.66666667	1.696629213	ZFY
ENSG00000164253	0.643053145	8.040789368	4.6734342	0.509487011	32.551563	25	1.202247191	WDR41
ENSG00000131508	0.464099426	6.675547991	7.754510989	0.494923757	93.31914	25	2.056179775	UBE2D2
ENSG00000177465	0.293609424	4.530456083	10.59179632	0.505564328	0.9693842	24.28571429	2.202247191	ACOT4
ENSG00000039560	0.470527871	6.738073911	7.426002198	0.507909616	26.498663	24.88888889	2	RAI14
ENSG00000170502	0.710270852	8.845605599	3.450415623	0.496932029	34.885815	25	1	NUDT9
ENSG00000119986	0.683049906	8.026374998	3.649416749	0.503050824	12.297852	25	0.865168539	AVPI1
ENSG00000115163	0.274831662	4.186790555	11.10385222	0.513064121	0.6788552	18.6984127	2.123595506	CENPA
ENSG00000119457	0.136497517	2.526778225	16.09407531	0.494419556	3.537989	15.17460317	2.707865169	SLC46A2
ENSG00000145384	0.069217726	1.528771795	20.73679692	0.494380738	4.5213675	7.349206349	2.820224719	FABP2
ENSG00000163939	0.497412099	6.951298784	6.874143962	0.497476984	33.22579	25	1.573033708	PBRM1
ENSG00000145147	0.318559352	4.871283182	10.41736083	0.49119558	46.9867	24.9047619	3	SLIT2
ENSG00000129595	0.657468934	7.865142908	4.090466891	0.505426152	24.262506	24.98412698	1.235955056	EPB41L4A
ENSG00000135637	0.304740433	4.655192873	10.51976023	0.486903455	5.036713	24.98412698	2.651685393	CCDC142
ENSG00000129009	0.382627994	5.617709407	9.205416011	0.512680166	6.550108	24.12698413	2.123595506	ISLR
ENSG00000073150	0.239978048	3.87736704	12.13858956	0.503377779	4.4590435	23.44444444	2.719101124	PANX2
ENSG00000131620	0.393789184	5.75428238	9.00465861	0.51081595	66.13106	24.96825397	2.595505618	ANO1
ENSG00000153561	0.612363819	7.804222961	4.963790824	0.506197334	16.288538	25	1.449438202	RMND5A
ENSG00000164188	0.407774962	5.677865217	8.193547175	0.503194781	10.485233	23.9047619	2.033707865	RANBP3L
ENSG00000198021	0.022056882	0.57780309	25.60309955	0.493045342	0.115758955	1.142857143	2.97752809	SPANXA1
ENSG00000170921	0.651521081	7.636161342	4.147048275	0.496638609	8.162826	24.96825397	0.865168539	TANC2
ENSG00000152137	0.587340004	7.776026346	5.530033686	0.496517794	45.421223	24.93650794	1.348314607	HSPB8
ENSG00000167702	0.486484263	6.818028056	7.278887858	0.50070913	106.142265	25	2.123595506	KIFC2
ENSG00000171056	0.340574009	4.973156769	9.583783179	0.495844237	1.1324928	23.3015873	1.91011236	SOX7
ENSG00000135913	0.473552848	6.53595257	7.330672221	0.500556985	7.7607803	25	1.786516854	USP37
ENSG00000196757	0.442411968	6.156473634	7.830943529	0.504119751	3.3178294	24.9047619	1.797752809	ZNF700
ENSG00000239862	0.075549126	1.619252384	20.01908802	0.503627446	7.9411583	9.80952381	3	IGKV1-37
ENSG00000112877	0.51390383	6.611163703	6.241695999	0.4843383	3.92571	25	1.584269663	CEP72
ENSG00000187398	0.116027884	2.318824144	17.46474088	0.49687216	1.4219439	15.98412698	2.91011236	LUZP2
ENSG00000056586	0.405119628	5.989939378	8.799050317	0.499518834	18.353651	25	2.280898876	RC3H2
ENSG00000146122	0.608825524	8.068455656	5.149315991	0.49897302	79.69806	25	1.415730337	DAAM2
ENSG00000147471	0.620151022	7.865466021	4.695156983	0.502464354	27.76984	25	1.033707865	PLPBP
ENSG00000186787	0.464313287	6.303239188	7.396649632	0.499836901	5.666663	24.98412698	1.775280899	SPIN2B
ENSG00000117480	0.651085242	8.480766578	4.72355428	0.494559749	72.92049	25	1.033707865	FAAH
ENSG00000101680	0.280624177	4.376648213	11.27341227	0.494729861	12.800173	24.65079365	2.764044944	LAMA1
ENSG00000164199	0.296301781	4.490165333	10.63247239	0.496909482	64.52117	24.50793651	2.651685393	ADGRV1
ENSG00000175265	0.516272134	7.533804659	7.029132772	0.504672524	618.70154	25	2.325842697	GOLGA8A
ENSG00000104324	0.353939198	5.424783564	9.716839039	0.502548715	64.48121	25	2.741573034	CPQ
ENSG00000100065	0.665295136	8.112462835	4.110146096	0.50187505	34.24368	24.92063492	0.820224719	CARD10
ENSG00000168310	0.60933061	8.218847035	5.319791428	0.501217742	27.230762	24.98412698	1.303370787	IRF2
ENSG00000177990	0.293014966	4.49830053	10.84710207	0.491344264	17.292885	24.71428571	2.943820225	DPY19L2
ENSG00000242362	0.01810228	0.457520751	26.06133529	0.496438216	0.007648882	0.682539683	2.97752809	CT47A2
ENSG00000198569	0.124337629	2.346060172	16.52482324	0.486287546	1.5835727	15.52380952	2.943820225	SLC34A3
ENSG00000170476	0.2444995	3.864913143	11.9526756	0.506391682	11.195632	21.46031746	2.764044944	MZB1
ENSG00000142949	0.577089489	7.725057785	5.819436546	0.492544636	226.2682	25	1.640449438	PTPRF
ENSG00000143924	0.588926731	7.767195854	5.480449293	0.4924559	53.09144	25	1.460674157	EML4
ENSG00000102524	0.244962912	3.898414538	12.08672351	0.495149189	3.4025023	24.85714286	3	TNFSF13B
ENSG00000197826	0.117626312	2.183239399	16.99391306	0.485020786	0.7507643	13.03174603	2.764044944	C4orf22
ENSG00000138030	0.343833034	5.1350118	10.00298138	0.499399694	48.117012	25	2.775280899	KHK
ENSG00000115808	0.603717115	7.473877735	4.857092602	0.502910407	14.471802	24.98412698	1.134831461	STRN
ENSG00000129965	0.073060901	1.660151012	21.05885809	0.513720056	1.186371	10.44444444	2.966292135	INS-IGF2
ENSG00000117594	0.283850202	4.4894952	11.05412673	0.509161287	23.189611	24.85714286	2.943820225	HSD11B1
ENSG00000214193	0.613711017	7.722284025	4.659048077	0.500886706	33.184334	25	1.033707865	SH3D21
ENSG00000105851	0.317945395	4.852915484	10.29602597	0.496161577	1.6647797	23.44444444	2.258426966	PIK3CG
ENSG00000119938	0.301922783	4.542994968	10.66423403	0.506172818	1.6379083	24.01587302	2.202247191	PPP1R3C
ENSG00000117877	0.365726516	5.292091292	9.168948619	0.486519311	0.79166204	24.71428571	1.719101124	CD3EAP
ENSG00000115648	0.467193397	6.475637107	7.182654836	0.503000866	103.333755	24.88888889	1.808988764	MLPH
ENSG00000196154	0.456802942	6.467649859	7.714588918	0.503940291	134.81956	25	2.303370787	S100A4
ENSG00000119401	0.514142543	6.508698254	6.161958905	0.50287944	0.54502606	23.9047619	1.191011236	TRIM32
ENSG00000063601	0.534199355	7.247847211	6.341052849	0.495285909	22.059628	24.98412698	1.662921348	MTMR1
ENSG00000178538	0.259208541	4.081164896	11.85412515	0.500110636	5.563249	24.41269841	2.887640449	CA8
ENSG00000144747	0.567743318	7.726597192	5.897209301	0.494693989	39.353542	25	1.483146067	TMF1
ENSG00000183023	0.38381934	5.537015015	9.09258072	0.49430244	5.579511	24.85714286	1.921348315	SLC8A1
ENSG00000084207	0.548161972	7.900861702	6.530260421	0.496632692	621.54736	25	1.943820225	GSTP1
ENSG00000141485	0.127294161	2.491468308	17.07815969	0.489954678	14.105937	17.49206349	2.988764045	SLC13A5
ENSG00000052795	0.554042308	7.08600228	5.815947312	0.491759994	15.432874	25	1.325842697	FNIP2
ENSG00000099840	0.328640761	4.887330087	10.25035914	0.495107694	25.27057	24.98412698	2.842696629	IZUMO4
ENSG00000101294	0.487862459	7.064791558	7.22062726	0.496121013	175.23004	24.98412698	2.247191011	HM13
ENSG00000175906	0.344866912	5.223093988	9.926957871	0.50943912	3.550446	24.44444444	2.449438202	ARL4D
ENSG00000087250	0.338613936	5.108440541	10.08536185	0.495051102	187.66037	24.63492063	2.516853933	MT3
ENSG00000165661	0.594413171	7.517441922	5.235480922	0.495994874	20.041323	24.98412698	1.146067416	QSOX2
ENSG00000206530	0.304084307	4.642898182	10.75986861	0.501546706	17.9171	24.98412698	2.966292135	CFAP44
ENSG00000213676	0.688848019	9.000471678	4.011823479	0.503248657	153.29428	25	1.224719101	ATF6B
ENSG00000105700	0.686324094	8.647282974	3.877704804	0.513400328	56.655914	25	1.213483146	KXD1
ENSG00000134057	0.413719098	5.763712298	8.342563182	0.498731567	9.536936	25	2.258426966	CCNB1
ENSG00000145864	0.116454162	2.366626478	17.9389693	0.500822374	0.75691974	16.23809524	2.95505618	GABRB2
ENSG00000148468	0.420165308	5.897463703	8.145515472	0.50780904	10.193092	24.9047619	1.95505618	FAM171A1
ENSG00000228517	0.019137966	0.492309324	26.74543909	0.498890204	0.006109201	0.682539683	2.97752809	CT47A7
ENSG00000135406	0.253807168	4.113414942	12.10945926	0.485932824	7.4711914	24.11111111	2.797752809	PRPH
ENSG00000135835	0.426309434	5.942807763	8.119874131	0.497946934	4.371883	24.73015873	1.730337079	KIAA1614
ENSG00000137497	0.855880178	10.81978281	1.757129108	0.496593737	417.15604	25	0.258426966	NUMA1
ENSG00000156467	0.859156315	10.49591693	1.709378706	0.494813659	297.3481	25	0.348314607	UQCRB
ENSG00000167653	0.163666374	2.973915608	15.2117321	0.501952834	15.70434	19.96825397	2.898876404	PSCA
ENSG00000173715	0.432468887	6.1934506	8.412616071	0.503372691	30.55577	25	2.112359551	C11orf80
ENSG00000115091	0.663119125	8.756816466	4.430147193	0.48987118	128.52206	25	1.303370787	ACTR3
ENSG00000120727	0.764887246	8.644595523	2.645134081	0.495433395	49.195614	25	0.539325843	PAIP2
ENSG00000157625	0.494560293	6.648643544	6.669387405	0.477625816	6.6068254	24.96825397	1.505617978	TAB3
ENSG00000110172	0.574674017	7.602731147	5.570997519	0.508579865	27.618816	25	1.505617978	CHORDC1
ENSG00000141127	0.495322876	6.990804841	7.157671181	0.505115167	29.422035	24.98412698	1.797752809	PRPSAP2
ENSG00000196436	0.629456953	7.281657414	4.267561188	0.503103243	4.5284514	24.93650794	0.505617978	NPIPB15
ENSG00000164465	0.365264438	5.381497409	9.42844374	0.51405329	9.253059	24.98412698	2.415730337	DCBLD1
ENSG00000101825	0.215767652	3.484854604	12.64338813	0.503566001	3.449921	22.06349206	3	MXRA5
